
[TEST CONDITION]
CondName,バッテリ温度特性試験20210227
ModelID,21
Average,0
CheckDut,FALSE
AutoFine,FALSE
DateTime,2021/02/27,21:40:39
Operator,米山まうむ
Notes,運用に向けてバッテリの温度特性を測定する
運用時の消費電流を鑑み，0.1C放電で行う
なおこんなに運用直前にやることではないので，次期プロジェクトの人間はもっと早い段階で行うことをお勧めする
BatteryName,UF103450P
NominalCapacity[mAh],1800.0
NominalVoltage[V],3.70000
Volume[ml],0.10
Weight[g],38.30
SoftOvp[V],4.40000
SoftUvp[V],2.50000
SoftOah[%],110.00000
SoftOtp[°C],60.00000
DeltaT[s],10.00000
DeltaV[V],0.10000
DeltaI[A],0.10000
ImpRange[ohm],0
Frequency[Hz],1000
AutoRange,FALSE
AfterCharge,FALSE
AfterChargeRest,FALSE
AfterDischarge,FALSE
AfterDischargeRest,FALSE
CapacityRate_C[%],OFF
CapacityRate_D[%],OFF
Impedance_C[ohm],OFF
Impedance_D[ohm],OFF
SeqInfoName,

[CHARGE SHEET]
SheetNo,2
Range,HIGH
Mode,CC-CV
ChargeTime[s],0
RestTime[s],0
Current[A],0.00000
CvVolt[V],0.00000
CvTime[s],0
ItCurrent[A],OFF
ItTime[s],OFF

[DISCHARGE SHEET]
SheetNo,2
Range,HIGH
Mode,CC
DischargeTime[s],43200
RestTime[s],0
Current[A],0.18800
CapacityVolt[V],3.70000
CutoffVolt[V],2.75000

[DISCHARGE MONITOR]
TimeElapsed[s],StdState,OpnState,LowRange,Capacity[mAh],Power[Wh],Curr[A],Volt[V],VoltHi[V],VoltLo[V],Temp[°C],TermState,CellVolt[V],CellVoltHi[V],CellVoltLo[V],CellTemp[°C],(continued)
0,0x000E,0,FALSE,0.00000,0.00000,0.00000,4.08300,NAN,NAN,9.80000
0,0x000E,1,FALSE,0.00000,0.00000,0.00010,4.05870,NAN,NAN,9.80000
10,0x000E,1,FALSE,0.49253,0.00199,0.18930,4.04750,NAN,NAN,9.80000
20,0x000E,1,FALSE,0.99061,0.00401,0.18930,4.04530,NAN,NAN,9.90000
30,0x000E,1,FALSE,1.43892,0.00582,0.18930,4.04350,NAN,NAN,9.90000
40,0x000E,1,FALSE,1.93708,0.00784,0.18930,4.04180,NAN,NAN,9.90000
50,0x000E,1,FALSE,2.43531,0.00985,0.18930,4.04040,NAN,NAN,9.90000
60,0x000E,1,FALSE,2.93350,0.01186,0.18930,4.03920,NAN,NAN,9.90000
70,0x000E,1,FALSE,3.43186,0.01387,0.18930,4.03810,NAN,NAN,9.90000
80,0x000E,1,FALSE,3.98011,0.01609,0.18930,4.03700,NAN,NAN,9.90000
90,0x000E,1,FALSE,4.47856,0.01810,0.18930,4.03610,NAN,NAN,9.90000
100,0x000E,1,FALSE,4.97700,0.02011,0.18930,4.03530,NAN,NAN,9.80000
110,0x000E,1,FALSE,5.47542,0.02212,0.18930,4.03450,NAN,NAN,9.70000
120,0x000E,1,FALSE,5.92394,0.02393,0.18930,4.03380,NAN,NAN,9.70000
130,0x000E,1,FALSE,6.42253,0.02594,0.18930,4.03320,NAN,NAN,9.70000
140,0x000E,1,FALSE,6.92106,0.02795,0.18930,4.03250,NAN,NAN,9.70000
150,0x000E,1,FALSE,7.41956,0.02996,0.18930,4.03190,NAN,NAN,9.70000
160,0x000E,1,FALSE,7.91794,0.03197,0.18930,4.03130,NAN,NAN,9.70000
170,0x000E,1,FALSE,8.46625,0.03418,0.18930,4.03070,NAN,NAN,9.80000
180,0x000E,1,FALSE,8.96475,0.03619,0.18930,4.03020,NAN,NAN,9.80000
190,0x000E,1,FALSE,9.46308,0.03820,0.18930,4.02970,NAN,NAN,9.90000
200,0x000E,1,FALSE,9.96167,0.04021,0.18930,4.02920,NAN,NAN,9.90000
210,0x000E,1,FALSE,10.41042,0.04202,0.18930,4.02880,NAN,NAN,10.00000
220,0x000E,1,FALSE,10.90900,0.04402,0.18930,4.02840,NAN,NAN,10.00000
230,0x000E,1,FALSE,11.40750,0.04603,0.18930,4.02790,NAN,NAN,10.10000
240,0x000E,1,FALSE,11.90614,0.04804,0.18930,4.02750,NAN,NAN,10.20000
250,0x000E,1,FALSE,12.40472,0.05005,0.18930,4.02710,NAN,NAN,10.20000
260,0x000E,1,FALSE,12.95297,0.05226,0.18930,4.02680,NAN,NAN,10.30000
270,0x000E,1,FALSE,13.45158,0.05426,0.18930,4.02640,NAN,NAN,10.30000
280,0x000E,1,FALSE,13.95022,0.05627,0.18930,4.02610,NAN,NAN,10.30000
290,0x000E,1,FALSE,14.44878,0.05828,0.18930,4.02570,NAN,NAN,10.30000
300,0x000E,1,FALSE,14.89742,0.06008,0.18930,4.02540,NAN,NAN,10.40000
310,0x000E,1,FALSE,15.39592,0.06209,0.18930,4.02500,NAN,NAN,10.40000
320,0x000E,1,FALSE,15.89450,0.06410,0.18930,4.02480,NAN,NAN,10.40000
330,0x000E,1,FALSE,16.39308,0.06610,0.18930,4.02440,NAN,NAN,10.50000
340,0x000E,1,FALSE,16.89156,0.06811,0.18930,4.02410,NAN,NAN,10.50000
350,0x000E,1,FALSE,17.43986,0.07031,0.18930,4.02380,NAN,NAN,10.50000
360,0x000E,1,FALSE,17.93819,0.07232,0.18930,4.02350,NAN,NAN,10.50000
370,0x000E,1,FALSE,18.43636,0.07432,0.18930,4.02320,NAN,NAN,10.50000
380,0x000E,1,FALSE,18.93450,0.07633,0.18930,4.02290,NAN,NAN,10.60000
390,0x000E,1,FALSE,19.38280,0.07813,0.18930,4.02260,NAN,NAN,10.60000
400,0x000E,1,FALSE,19.88103,0.08013,0.18930,4.02230,NAN,NAN,10.50000
410,0x000E,1,FALSE,20.37922,0.08214,0.18930,4.02200,NAN,NAN,10.50000
420,0x000E,1,FALSE,20.87750,0.08414,0.18930,4.02170,NAN,NAN,10.30000
430,0x000E,1,FALSE,21.37575,0.08615,0.18930,4.02130,NAN,NAN,10.20000
440,0x000E,1,FALSE,21.92397,0.08835,0.18930,4.02100,NAN,NAN,10.10000
450,0x000E,1,FALSE,22.42233,0.09035,0.18930,4.02060,NAN,NAN,9.90000
460,0x000E,1,FALSE,22.92078,0.09236,0.18930,4.02030,NAN,NAN,9.80000
470,0x000E,1,FALSE,23.41906,0.09436,0.18930,4.02000,NAN,NAN,9.70000
480,0x000E,1,FALSE,23.86758,0.09616,0.18930,4.01960,NAN,NAN,9.60000
490,0x000E,1,FALSE,24.36592,0.09817,0.18930,4.01930,NAN,NAN,9.50000
500,0x000E,1,FALSE,24.86403,0.10017,0.18930,4.01890,NAN,NAN,9.60000
510,0x000E,1,FALSE,25.36250,0.10217,0.18930,4.01860,NAN,NAN,9.70000
520,0x000E,1,FALSE,25.86078,0.10417,0.18930,4.01820,NAN,NAN,9.70000
530,0x000E,1,FALSE,26.40883,0.10638,0.18930,4.01790,NAN,NAN,9.80000
540,0x000E,1,FALSE,26.90697,0.10838,0.18930,4.01760,NAN,NAN,9.80000
550,0x000E,1,FALSE,27.40508,0.11038,0.18930,4.01720,NAN,NAN,9.80000
560,0x000E,1,FALSE,27.90331,0.11238,0.18930,4.01690,NAN,NAN,9.80000
570,0x000E,1,FALSE,28.35175,0.11418,0.18930,4.01660,NAN,NAN,9.90000
580,0x000E,1,FALSE,28.85008,0.11618,0.18930,4.01630,NAN,NAN,9.90000
590,0x000E,1,FALSE,29.34828,0.11818,0.18930,4.01600,NAN,NAN,9.90000
600,0x000E,1,FALSE,29.84675,0.12018,0.18930,4.01570,NAN,NAN,9.90000
610,0x000E,1,FALSE,30.34508,0.12218,0.18930,4.01540,NAN,NAN,9.90000
620,0x000E,1,FALSE,30.89330,0.12439,0.18930,4.01510,NAN,NAN,10.00000
630,0x000E,1,FALSE,31.39172,0.12639,0.18930,4.01480,NAN,NAN,10.00000
640,0x000E,1,FALSE,31.89017,0.12839,0.18930,4.01450,NAN,NAN,10.00000
